2024-10-17 16:09:16,992 - Frame: 1, CPU: 5.1%, Memory: 86.0%
2024-10-17 16:09:17,048 - Frame: 2, CPU: 7.1%, Memory: 86.0%
2024-10-17 16:09:17,089 - Frame: 3, CPU: 2.4%, Memory: 86.1%
2024-10-17 16:09:17,120 - Frame: 4, CPU: 6.5%, Memory: 86.1%
2024-10-17 16:09:17,150 - Frame: 5, CPU: 3.3%, Memory: 86.1%
2024-10-17 16:09:17,181 - Frame: 6, CPU: 12.5%, Memory: 86.1%
2024-10-17 16:09:17,215 - Frame: 7, CPU: 6.1%, Memory: 86.1%
2024-10-17 16:09:17,257 - Frame: 8, CPU: 6.1%, Memory: 86.1%
2024-10-17 16:09:17,303 - Frame: 9, CPU: 4.7%, Memory: 86.1%
2024-10-17 16:09:17,334 - Frame: 10, CPU: 3.1%, Memory: 86.1%
2024-10-17 16:09:17,367 - Frame: 11, CPU: 2.7%, Memory: 86.1%
2024-10-17 16:09:17,435 - Frame: 12, CPU: 9.2%, Memory: 86.1%
2024-10-17 16:09:17,495 - Frame: 13, CPU: 6.2%, Memory: 86.1%
2024-10-17 16:09:17,526 - Frame: 14, CPU: 6.5%, Memory: 86.1%
2024-10-17 16:09:17,558 - Frame: 15, CPU: 0.0%, Memory: 86.1%
2024-10-17 16:09:17,592 - Frame: 16, CPU: 0.0%, Memory: 86.1%
2024-10-17 16:09:17,621 - Frame: 17, CPU: 0.0%, Memory: 86.1%
2024-10-17 16:09:17,653 - Frame: 18, CPU: 0.0%, Memory: 86.1%
2024-10-17 16:09:17,685 - Frame: 19, CPU: 3.3%, Memory: 86.1%
2024-10-17 16:09:17,716 - Frame: 20, CPU: 0.0%, Memory: 86.1%
2024-10-17 16:09:17,749 - Frame: 21, CPU: 6.7%, Memory: 86.1%
2024-10-17 16:09:17,780 - Frame: 22, CPU: 2.9%, Memory: 86.1%
2024-10-17 16:09:17,814 - Frame: 23, CPU: 0.0%, Memory: 86.1%
2024-10-17 16:09:17,844 - Frame: 24, CPU: 6.5%, Memory: 86.0%
2024-10-17 16:09:17,875 - Frame: 25, CPU: 0.0%, Memory: 86.0%
2024-10-17 16:09:17,906 - Frame: 26, CPU: 0.0%, Memory: 86.0%
2024-10-17 16:09:17,937 - Frame: 27, CPU: 0.0%, Memory: 86.0%
2024-10-17 16:09:17,968 - Frame: 28, CPU: 0.0%, Memory: 86.0%
2024-10-17 16:09:17,999 - Frame: 29, CPU: 0.0%, Memory: 86.0%
2024-10-17 16:09:18,031 - Frame: 30, CPU: 0.0%, Memory: 86.0%
2024-10-17 16:09:18,062 - Frame: 31, CPU: 3.2%, Memory: 86.0%
2024-10-17 16:09:18,094 - Frame: 32, CPU: 3.2%, Memory: 86.0%
2024-10-17 16:09:18,125 - Frame: 33, CPU: 0.0%, Memory: 86.0%
2024-10-17 16:09:18,157 - Frame: 34, CPU: 0.0%, Memory: 86.0%
2024-10-17 16:09:18,187 - Frame: 35, CPU: 0.0%, Memory: 86.0%
2024-10-17 16:09:18,218 - Frame: 36, CPU: 0.0%, Memory: 86.0%
2024-10-17 16:09:18,250 - Frame: 37, CPU: 3.3%, Memory: 86.0%
2024-10-17 16:09:18,282 - Frame: 38, CPU: 2.8%, Memory: 86.0%
2024-10-17 16:09:18,312 - Frame: 39, CPU: 3.1%, Memory: 86.0%
2024-10-17 16:09:18,343 - Frame: 40, CPU: 0.0%, Memory: 86.0%
2024-10-17 16:09:18,374 - Frame: 41, CPU: 0.0%, Memory: 86.0%
2024-10-17 16:09:18,405 - Frame: 42, CPU: 2.7%, Memory: 86.0%
2024-10-17 16:09:18,439 - Frame: 43, CPU: 3.3%, Memory: 86.3%
2024-10-17 16:09:18,487 - Frame: 44, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:18,515 - Frame: 45, CPU: 6.2%, Memory: 86.3%
2024-10-17 16:09:18,546 - Frame: 46, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:18,577 - Frame: 47, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:18,608 - Frame: 48, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:18,640 - Frame: 49, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:18,672 - Frame: 50, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:18,704 - Frame: 51, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:18,734 - Frame: 52, CPU: 3.1%, Memory: 86.3%
2024-10-17 16:09:18,766 - Frame: 53, CPU: 3.2%, Memory: 86.3%
2024-10-17 16:09:18,798 - Frame: 54, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:18,828 - Frame: 55, CPU: 4.5%, Memory: 86.3%
2024-10-17 16:09:18,860 - Frame: 56, CPU: 6.5%, Memory: 86.3%
2024-10-17 16:09:18,892 - Frame: 57, CPU: 12.1%, Memory: 86.3%
2024-10-17 16:09:18,923 - Frame: 58, CPU: 3.7%, Memory: 86.3%
2024-10-17 16:09:18,959 - Frame: 59, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:18,986 - Frame: 60, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,017 - Frame: 61, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,050 - Frame: 62, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,080 - Frame: 63, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,112 - Frame: 64, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,142 - Frame: 65, CPU: 3.3%, Memory: 86.3%
2024-10-17 16:09:19,175 - Frame: 66, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,206 - Frame: 67, CPU: 5.6%, Memory: 86.3%
2024-10-17 16:09:19,237 - Frame: 68, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,268 - Frame: 69, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,299 - Frame: 70, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,331 - Frame: 71, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,361 - Frame: 72, CPU: 3.0%, Memory: 86.3%
2024-10-17 16:09:19,393 - Frame: 73, CPU: 3.7%, Memory: 86.3%
2024-10-17 16:09:19,425 - Frame: 74, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,457 - Frame: 75, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,486 - Frame: 76, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,516 - Frame: 77, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,546 - Frame: 78, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,578 - Frame: 79, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,609 - Frame: 80, CPU: 5.6%, Memory: 86.3%
2024-10-17 16:09:19,641 - Frame: 81, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,674 - Frame: 82, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,704 - Frame: 83, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,735 - Frame: 84, CPU: 2.8%, Memory: 86.3%
2024-10-17 16:09:19,766 - Frame: 85, CPU: 5.3%, Memory: 86.3%
2024-10-17 16:09:19,797 - Frame: 86, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,828 - Frame: 87, CPU: 3.2%, Memory: 86.3%
2024-10-17 16:09:19,860 - Frame: 88, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:19,892 - Frame: 89, CPU: 0.0%, Memory: 86.3%
2024-10-17 16:09:20,031 - Frame: 90, CPU: 0.7%, Memory: 86.8%
2024-10-17 16:09:20,086 - Frame: 91, CPU: 1.7%, Memory: 86.8%
2024-10-17 16:09:20,139 - Frame: 92, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:20,173 - Frame: 93, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:20,220 - Frame: 94, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:20,268 - Frame: 95, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:20,299 - Frame: 96, CPU: 3.0%, Memory: 86.8%
2024-10-17 16:09:20,330 - Frame: 97, CPU: 2.9%, Memory: 86.8%
2024-10-17 16:09:20,361 - Frame: 98, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:20,393 - Frame: 99, CPU: 3.8%, Memory: 86.8%
2024-10-17 16:09:20,424 - Frame: 100, CPU: 0.0%, Memory: 86.8%
